"logrank_p_reject","wlr_fh00_p_reject","wlr_fh01_p_reject","wlr_fh11_p_reject","wlr_fh10_p_reject","maxcombo_p_reject","cox_p_reject","rmst6_p_reject","rmst12_p_reject","cox_hr_bias","cox_hr_mse","rmst6_bias","rmst6_mse","rmst12_bias","rmst12_mse","mile6_bias","mile12_bias","replications","n_total","lambda0","cens_prop","prev","hr_overall","rel","hr_pos","hr_neg","true_hr_mix","true_rmst6","true_rmst12","true_mile6","true_mile12"
0.105,0.105,0.095,0.105,0.09,0.06,0.105,0.06,0.1,0.0107960434103261,0.0108454013016514,0.0113224647392967,0.0147913221500574,0.04370411770185,0.116086543416469,0.00631867538102128,0.00666214208312854,200,300,0.0192540883488874,0.1,0.1,0.9,0.9,0.81,0.91,0.9,0.0322342348302529,0.120003916878737,0.0103571737951571,0.0185715036862932
0.145,0.145,0.13,0.105,0.145,0.115,0.145,0.085,0.09,0.001135684694522,0.0118447020357993,0.0112823521159415,0.0407546867413161,0.0149918050883643,0.240320895666657,0.00275443557316494,-0.00135251000176939,200,300,0.0577622650466621,0.1,0.1,0.9,0.9,0.81,0.91,0.9,0.0838252274817259,0.272035080091452,0.0249760029996726,0.0360047678974331
0.175,0.175,0.135,0.165,0.18,0.15,0.17,0.12,0.17,-0.00491201277877988,0.0144384120241422,0.0334988160936565,0.0593468067895053,0.0636220104613419,0.285269340224317,0.00586242404757949,0.00195320523521251,200,300,0.115524530093324,0.1,0.1,0.9,0.9,0.81,0.91,0.9,0.136017540045726,0.36524064682251,0.0360047678974331,0.037432420577603
0.11,0.11,0.09,0.11,0.085,0.065,0.11,0.065,0.085,0.0138429194982523,0.0171744137686796,-0.0210054165666272,0.017454239194645,-0.0507882252570067,0.147276085740517,-0.00513154044857891,-0.00558524886084411,200,300,0.0192540883488874,0.3,0.1,0.9,0.9,0.81,0.91,0.9,0.0322342348302529,0.120003916878737,0.0103571737951571,0.0185715036862932
0.13,0.13,0.13,0.105,0.145,0.075,0.125,0.065,0.12,0.00666911221302037,0.0194906274752672,0.0104809571659117,0.0390656124075052,0.0227576968602679,0.258357063463806,0.00397524007219224,0.00178315818585642,200,300,0.0577622650466621,0.3,0.1,0.9,0.9,0.81,0.91,0.9,0.0838252274817259,0.272035080091452,0.0249760029996726,0.0360047678974331
0.105,0.105,0.135,0.09,0.095,0.075,0.105,0.07,0.1,0.0234718947194866,0.0192226589547359,-0.0237743389870393,0.0632586874247362,-0.0606797346893435,0.305126241596151,-0.00162651953949718,-0.00357503892790794,200,300,0.115524530093324,0.3,0.1,0.9,0.9,0.81,0.91,0.9,0.136017540045726,0.36524064682251,0.0360047678974331,0.037432420577603
0.17,0.17,0.115,0.14,0.125,0.11,0.17,0.09,0.08,-0.000757142051700522,0.0104130401944322,-0.00336933151437656,0.0188646623522767,-0.0160507701934875,0.129578472293542,-0.00245152519322312,-0.00103088486974764,200,300,0.0192540883488874,0,0.3,0.9,0.9,0.81,0.938571428571429,0.9,0.0322660228730962,0.120239568735235,0.0103726631539826,0.0186274328584717
0.14,0.14,0.115,0.15,0.12,0.11,0.14,0.08,0.095,0.00803895261569502,0.0108110606335024,-0.01333483545358,0.0406469040204572,-0.0184996452095277,0.249938533279119,-0.00177017328293149,-0.00124893946713634,200,300,0.0577622650466621,0,0.3,0.9,0.9,0.81,0.938571428571429,0.9,0.0840709921869038,0.273605444850251,0.0250896008947581,0.0363390437122686
0.18,0.18,0.12,0.18,0.13,0.12,0.18,0.105,0.135,0.00514554730037021,0.0124487717852539,0.00228866200427852,0.0677312439825112,-0.000899043645848718,0.306453271570386,-0.000688203121620537,0.000359350816065526,200,300,0.115524530093324,0,0.3,0.9,0.9,0.81,0.938571428571429,0.9,0.136802722425125,0.369296268164828,0.0363390437122686,0.0381562468959693
0.175,0.175,0.165,0.13,0.125,0.09,0.175,0.035,0.065,0.00227615413197426,0.0135817909316694,-0.000532353658002922,0.0159590066034333,0.00744063814514056,0.115856833438016,0.000971520725867489,0.00122944777125203,200,300,0.0192540883488874,0.1,0.3,0.9,0.9,0.81,0.938571428571429,0.9,0.0322660228730962,0.120239568735235,0.0103726631539826,0.0186274328584717
